# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-air 17:u 18:T 19:M_local 20:total_p
1.246379089618919078e+00 1.845420879674969372e-01 0.000000000000000000e+00 1.191287355451528095e-05 6.267655454235132595e+00 6.279903183799755872e+00 -6.560566903195519384e-01 0.000000000000000000e+00 9.138803824841525980e+00 1.428749653343869275e+00 4.763003442900118338e-12 4.654746783702913723e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.645224235589690664e+00 5.078624903340180768e-03 4.419304001544675842e+00 2.390292875781117345e+03
1.246351535803272625e+00 1.861764416413700662e-01 0.000000000000000000e+00 1.197701777940732466e-05 6.367701455371467034e+00 6.281862609025105293e+00 -5.918890523982981433e-01 0.000000000000000000e+00 9.335955304644796726e+00 1.432689417332172921e+00 4.802512793637251100e-12 4.693358647395705797e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.665355297385001876e+00 5.106672042598764394e-03 4.404084635891951649e+00 2.395391670570733368e+03
1.246318857423358573e+00 1.878083874361124450e-01 0.000000000000000000e+00 1.208592680226861470e-05 6.429087462510974404e+00 6.282495862364555705e+00 -5.266502382778565083e-01 0.000000000000000000e+00 9.510050039577921055e+00 1.439066130548604772e+00 4.866922705305681013e-12 4.756305450405724941e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.698055943021667957e+00 5.152231465710305561e-03 4.380987886522095032e+00 2.369764956142195842e+03
1.246286179144742823e+00 1.894403281704739594e-01 0.000000000000000000e+00 1.219483582513055525e-05 6.443631321445609572e+00 6.279978445663195963e+00 -4.596266678906131831e-01 0.000000000000000000e+00 9.662847761289830473e+00 1.448942811299627431e+00 4.967817686310878602e-12 4.854908580068560473e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.748991554315836083e+00 5.223196335706449880e-03 4.345772509943447659e+00 2.302478015072102153e+03
1.246256592506386651e+00 1.910694858475949498e-01 0.000000000000000000e+00 1.226707293140825040e-05 6.414908920641637202e+00 6.270337296681077532e+00 -3.912108001576778404e-01 0.000000000000000000e+00 9.789816856081403174e+00 1.461692619767517076e+00 5.100112042113688855e-12 4.984197908758193668e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.815259490505049200e+00 5.315522615044119409e-03 4.298119398302285177e+00 2.194943867252863583e+03
1.246221595198903742e+00 1.926962693108802693e-01 0.000000000000000000e+00 1.238370520908029307e-05 6.367177309838835342e+00 6.254081412172597609e+00 -3.208919457172256795e-01 0.000000000000000000e+00 9.899930879815180162e+00 1.475389291631684863e+00 5.244825507462544601e-12 5.125624338004355041e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.887095646181151665e+00 5.415606688230869756e-03 4.244512544547471400e+00 2.071734691377084800e+03
1.246186598033713233e+00 1.943230461609014026e-01 0.000000000000000000e+00 1.250033748675238995e-05 6.319998927112560061e+00 6.247812548308282032e+00 -2.509093678399955119e-01 0.000000000000000000e+00 9.982987273248463467e+00 1.487084935983219003e+00 5.370542386497898173e-12 5.248485744785745649e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.948967155050382871e+00 5.501807746229618948e-03 4.204769056194861854e+00 1.984365776909324268e+03
1.246154494889331721e+00 1.959472107922699546e-01 0.000000000000000000e+00 1.258071439238714340e-05 6.347674677786667274e+00 6.250155613926722253e+00 -1.791924442549683583e-01 0.000000000000000000e+00 1.005343162036446358e+01 1.489065671438715599e+00 5.392030289766373663e-12 5.269485589030380715e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.959493881887915734e+00 5.516473866504413397e-03 4.199092045990588495e+00 1.983694107160462863e+03
1.246116640243283946e+00 1.975688613833302687e-01 0.000000000000000000e+00 1.270686322008614689e-05 6.552121156054671935e+00 6.270494212928938715e+00 -1.090486951188044534e-01 0.000000000000000000e+00 1.009357710495051030e+01 1.468573240930363566e+00 5.172472496531204269e-12 5.054914749223377220e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.851263149958413123e+00 5.365683886256466216e-03 4.270432135492655767e+00 2.184004422567802976e+03
1.246078785793787169e+00 1.991905035541343960e-01 0.000000000000000000e+00 1.283301204778473025e-05 6.856278862615117653e+00 6.300820674750213790e+00 -3.512064154058094911e-02 0.000000000000000000e+00 1.012901841550618265e+01 1.438147602537021896e+00 4.857609552929926722e-12 4.747203850571916700e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.693336654791043117e+00 5.145656425826589456e-03 4.381273899655464987e+00 2.524918015279823521e+03
