#  1: step
#  2: pseudo-time
#  3: dt
#  4: CFL
#  5: eta
#  6: nRestarts
#  7: nIters
#  8: nFnCalls
#  9: wall-clock, s
#  10: global-residual-abs
# 11: global-residual-rel
#  12: mass-abs
# 13: mass-rel
# 14: x-mom-abs
# 15: x-mom-rel
# 16: y-mom-abs
# 17: y-mom-rel
# 18: energy-abs
# 19: energy-rel
# 20: mass-balance
# 21: linear-solve-residual
# 22: omega
# 23: PC
     320  2.4395698250950934e-01  4.3384292676993183e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  1747 8.50900000 1.4877098900484593e+05  1.7906363661875260e+00  2.0940441801465399e+03  3.3733574708751881e+00  6.4011697479716204e+03  1.4921866903074565e+00  2.3986455582836898e+03  5.4915943737561855e+09 2.4380109166433460e+04  1.5673418635688490e+00  1.5031969781607121e-01 7.3022231894404339e-03 1.0000000000000000e+00 1 
     340  2.5271520991954272e-01  4.3416787415376739e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  1883 9.13900000 1.6574826100795207e+05  1.9949780920224531e+00  1.9408507193224127e+03  3.1265736109834972e+00  6.6620459545284948e+03  1.5529999507846404e+00  2.9006445294057221e+03  6.6408991203139505e+09 2.6484515158109858e+04  1.7026293467455311e+00  3.0184984790131908e-01 7.5267375603469385e-03 8.8083330130404236e-01 1 
     360  2.6121904043107153e-01  4.1655226575072052e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  2022 9.83600000 1.7154054899683190e+05  2.0646951893254868e+00  1.9686556400896206e+03  3.1713653771202508e+00  7.1609990506139120e+03  1.6693116872922187e+00  2.3876107715465587e+03  5.4663307108727913e+09 2.9453572685516636e+04  1.8935033139735300e+00  4.4282055548777732e-01 6.8018449150557079e-03 8.2289085443740440e-01 1 
     380  2.6966344046848140e-01  4.1779328063618683e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  2163 10.48700000 1.8043978814316395e+05  2.1718081510219553e+00  2.1216487040213478e+03  3.4178264117532740e+00  6.6934843525792649e+03  1.5603286049186464e+00  2.0487561963674875e+03  4.6905379422628136e+09 2.7845034506513162e+04  1.7900940466117563e+00  5.9361342905055059e-01 7.9203005915338340e-03 8.7260610492366364e-01 1 
     400  2.7791014440015294e-01  4.0792820764158546e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  2302 11.13000000 1.7959336813856647e+05  2.1616204763184452e+00  1.9671270442467014e+03  3.1689029170367680e+00  6.0157173458489915e+03  1.4023332780656268e+00  1.8948559765299403e+03  4.3381901022657900e+09 2.4752345347395574e+04  1.5912720824851845e+00  7.4057116722801108e-01 6.3805306253663079e-03 8.3971682963759231e-01 1 
     420  2.8600424805199753e-01  4.0237473235468584e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  2435 11.79300000 1.8827996289315217e+05  2.2661740090330009e+00  2.0525594008088774e+03  3.3065284174898295e+00  6.2333849150172882e+03  1.4530741055100842e+00  2.7281318398908379e+03  6.2459388428899870e+09 2.6191652474669663e+04  1.6838018697683195e+00  8.8320961407738585e-01 5.3592040308527997e-03 7.8094671475710253e-01 1 
     440  2.9401468471407355e-01  3.9889939444911625e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  2560 12.37500000 1.9961460130484644e+05  2.4025999068060182e+00  1.9056955387451217e+03  3.0699410947430459e+00  6.0014374740660860e+03  1.3990044748229848e+00  3.4989898533436076e+03  8.0107846388945961e+09 2.5397025463381273e+04  1.6327171034035475e+00  1.0163763066883418e+00 4.4759518448796104e-03 7.9830465781911142e-01 1 
     460  3.0195849746203574e-01  3.9583992886049442e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  2691 13.04000000 2.0666699925738719e+05  2.4874839310846668e+00  2.2529800461493305e+03  3.6293919404693362e+00  5.9941165989486644e+03  1.3972978941757397e+00  4.1182664037481554e+03  9.4285912874242573e+09 2.6574618146606183e+04  1.7084218632982209e+00  1.0837403580444216e+00 4.3990428846550911e-03 6.9215507629922701e-01 1 
     480  3.0985682688551874e-01  3.9423995490465806e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  2819 13.63400000 1.2149169621942485e+05  1.4622975278683097e+00  1.2986600090559443e+03  2.0920496736459211e+00  5.1985742730479988e+03  1.2118477784900288e+00  2.0609967884838970e+03  4.7185622439633188e+09 2.2765779693600580e+04  1.4635602870758448e+00  4.3974318402865420e-01 4.8886458368916441e-03 1.0000000000000000e+00 1 
     500  3.1774860327932852e-01  3.9572056264755508e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  2919 14.10700000 1.0062053454839390e+05  1.2110881936915376e+00  6.4830731644296861e+02  1.0443773584532920e+00  2.8946260209157849e+03  6.7477079844615262e-01  6.5837877791005064e+02  1.5073294927151940e+09 1.1279583729993843e+04  7.2513882784371697e-01  4.0683766457124437e-01 6.5180506369397042e-03 1.0000000000000000e+00 1 
